,Category-en,Category-zh
0,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards",[{'translation_text': 'zheng 运动和户外娱乐滑板滑板滑板滑板滑板长板'}]
1,Toys & Games | Learning & Education | Science Kits & Toys,[{'translation_text': 'zheng 玩具游戏学习教育科学套件玩具'}]
2,Toys & Games | Arts & Crafts | Craft Kits,[{'translation_text': 'zheng 玩具和游戏'}]
3,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits,[{'translation_text': 'zheng 玩具和游戏趣味 模特和模型套餐 机器人和飞机套餐'}]
4,Toys & Games | Puzzles | Jigsaw Puzzles,[{'translation_text': 'zheng 玩具游戏拼图'}]
5,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",[{'translation_text': 'zheng 衣服鞋子和珠宝 服装和配件 儿童和婴儿女孩服装'}]
6,Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Crayons,[{'translation_text': 'zheng 玩具游戏艺术和工艺绘画用品'}]
7,Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films,[{'translation_text': 'zheng 家庭和厨房家庭装修窗口治疗窗口贴纸和电影窗口电影'}]
8,Toys & Games | Baby & Toddler Toys,[{'translation_text': 'zhys 玩具和游戏宝宝宝宝宝宝宝宝宝'}]
9,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",[{'translation_text': 'zheng 玩具和游戏 收藏玩具'}]
10,Baby Products | Nursery | Décor | Window Treatments | Valances,[{'translation_text': 'zheng 婴儿产品护理院装饰窗外治疗'}]
11,Toys & Games | Building Toys | Building Sets,[{'translation_text': 'zheng 玩具游戏'}]
12,Toys & Games | Arts & Crafts | Craft Kits,[{'translation_text': 'zheng 玩具和游戏'}]
13,Toys & Games | Baby & Toddler Toys | Musical Toys,[{'translation_text': 'zhys 玩具和游戏宝宝宝宝宝宝宝宝玩具音乐玩具'}]
14,Toys & Games | Learning & Education | Flash Cards,[{'translation_text': 'zheng 玩具游戏学习教育闪卡'}]
15,Home & Kitchen | Furniture | Kids' Furniture | Tables & Chairs | Tables,[{'translation_text': 'zheng 家具厨房儿童家具桌子椅子'}]
16,Toys & Games | Novelty & Gag Toys | Money Banks,[{'translation_text': 'zheng 玩具游戏新奇之路玩具钱银行'}]
17,Toys & Games | Baby & Toddler Toys | Musical Toys,[{'translation_text': 'zhys 玩具和游戏宝宝宝宝宝宝宝宝玩具音乐玩具'}]
18,Toys & Games | Sports & Outdoor Play | Slumber Bags,[{'translation_text': 'zheng 玩具和游戏 运动和户外播放睡袋'}]
19,Toys & Games | Hobbies | Hobby Building Tools & Hardware | RC Linkages,[{'translation_text': 'zheng 玩具和游戏趣味趣味建材工具和硬件'}]
20,Toys & Games | Building Toys | Building Sets,[{'translation_text': 'zheng 玩具游戏'}]
21,Toys & Games | Party Supplies | Party Tableware | Plates,[{'translation_text': 'zheng 玩具游戏聚会用餐'}]
22,Toys & Games | Baby & Toddler Toys | Teaching Clocks,[{'translation_text': 'zheng 玩具和游戏宝宝宝宝宝宝玩具教钟'}]
23,"Toys & Games | Tricycles, Scooters & Wagons | Balance Bikes","[{'translation_text': 'zheng 玩具游戏 三轮车,轮轮轮车和车轮平衡自行车'}]"
24,Toys & Games | Kids' Electronics,[{'translation_text': 'zheng 儿童电子玩具'}]
25,Home & Kitchen | Home Décor | Kids' Room Décor,[{'translation_text': 'zheng 家庭和厨房'}]
26,Baby Products | Nursery | Décor | Wall Décor | Growth Charts,[{'translation_text': 'zheng 婴儿产品护理院外观外观外观成长图表'}]
27,Toys & Games | Puzzles | Jigsaw Puzzles,[{'translation_text': 'zheng 玩具游戏拼图'}]
28,Sports & Outdoors | Sports & Fitness | Team Sports,[{'translation_text': 'zheng 运动和户外运动和健身'}]
29,Toys & Games | Dress Up & Pretend Play | Costumes,[{'translation_text': 'zheng 玩具游戏穿衣服并假装播放服装'}]
30,Home & Kitchen | Bedding | Kids' Bedding | Comforters & Sets | Comforter Sets,[{'translation_text': 'zheng 家庭和厨房床单儿童床单舒适器具'}]
31,Toys & Games | Toy Figures & Playsets | Action Figures,[{'translation_text': 'zheng 玩具和游戏玩具图像和剧情动作图像'}]
32,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Boys | Costumes",[{'translation_text': 'zheng 衣服鞋子珠宝服装配件儿童婴儿男孩服装'}]
33,Toys & Games | Play Vehicles,[{'translation_text': 'zheng 玩具游戏 播放汽车'}]
34,Toys & Games | Novelty & Gag Toys,[{'translation_text': 'zheng 玩具游戏'}]
35,Toys & Games | Party Supplies,[{'translation_text': 'zheng 玩具游戏聚会用品'}]
36,Toys & Games | Party Supplies | Banners,[{'translation_text': 'zheng 玩具游戏派对用品'}]
37,Toys & Games | Dolls & Accessories | Doll Accessories,[{'translation_text': 'zheng 玩具游戏玩具配件'}]
38,Toys & Games | Arts & Crafts | Craft Kits,[{'translation_text': 'zheng 玩具和游戏'}]
39,Toys & Games | Games & Accessories,[{'translation_text': 'zheng 玩具游戏'}]
40,Toys & Games | Hobbies | Trains & Accessories | Train Cars | Freight Cars | Gondolas,[{'translation_text': 'zheng 玩具和游戏趣味列车配件列车汽车货车'}]
41,Home & Kitchen | Bedding | Kids' Bedding | Blankets & Throws | Throws,[{'translation_text': 'zheng 家庭和厨房床单儿童床单毯子和布袋子'}]
42,Pet Supplies | Dogs | Training & Behavior Aids | Agility Equipment | Tunnels,[{'translation_text': 'zheng 养狗供应 养狗训练和行为辅助敏捷设备'}]
43,Toys & Games | Dolls & Accessories | Dolls,[{'translation_text': 'zheng 玩具游戏'}]
44,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts,[{'translation_text': 'zheng 玩具游戏趣味遥控设备和部件'}]
45,Toys & Games | Learning & Education,[{'translation_text': 'zheng 玩具游戏学习和教育'}]
46,Toys & Games | Kids' Electronics | Electronic Learning Toys,[{'translation_text': 'zheng 玩具和游戏'}]
47,"Clothing, Shoes & Jewelry | Novelty & More | Clothing | Novelty | Men | Shirts | T-Shirts",[{'translation_text': 'zheng 衣服鞋子珠宝新奇之路新奇之路男士衫衫'}]
48,Toys & Games | Hobbies | Hobby Building Tools & Hardware | Paints,[{'translation_text': 'zheng 玩具和游戏趣味趣味建材工具和硬件涂料'}]
49,Toys & Games | Arts & Crafts,[{'translation_text': 'zheng 玩具和游戏艺术和工艺'}]
50,Toys & Games | Games & Accessories | Card Games,[{'translation_text': 'zheng 玩具游戏游戏及配件'}]
51,Toys & Games | Dress Up & Pretend Play | Pretend Play | Kitchen Toys,[{'translation_text': 'zheng 玩具游戏 穿衣服并假装播放假装播放厨房玩具'}]
52,Toys & Games | Dolls & Accessories | Dolls,[{'translation_text': 'zheng 玩具游戏'}]
53,Toys & Games | Kids' Electronics | Electronic Learning Toys,[{'translation_text': 'zheng 玩具和游戏'}]
54,Toys & Games | Games & Accessories,[{'translation_text': 'zheng 玩具游戏'}]
55,"Clothing, Shoes & Jewelry | Men | Accessories | Wallets, Card Cases & Money Organizers | Wallets",[{'translation_text': 'zheng 衣服鞋子和珠宝 男子配件钱包卡套件和钱包组织者'}]
56,Toys & Games | Toy Figures & Playsets | Action Figures,[{'translation_text': 'zheng 玩具和游戏玩具图像和剧情动作图像'}]
57,Toys & Games | Baby & Toddler Toys,[{'translation_text': 'zhys 玩具和游戏宝宝宝宝宝宝宝宝宝'}]
58,Toys & Games | Baby & Toddler Toys | Sorting & Stacking Toys,[{'translation_text': 'zheng 玩具和游戏'}]
59,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",[{'translation_text': 'zheng 玩具和游戏 收藏玩具'}]
60,"Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Wigs",[{'translation_text': 'zheng 衣服鞋子和珠宝'}]
61,Toys & Games | Toy Figures & Playsets | Action Figures,[{'translation_text': 'zheng 玩具和游戏玩具图像和剧情动作图像'}]
62,Toys & Games | Toy Figures & Playsets | Action Figures,[{'translation_text': 'zheng 玩具和游戏玩具图像和剧情动作图像'}]
63,Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,[{'translation_text': 'zheng 玩具和游戏 色动物'}]
64,Toys & Games | Dolls & Accessories | Dolls,[{'translation_text': 'zheng 玩具游戏'}]
65,Toys & Games | Dolls & Accessories | Playsets,[{'translation_text': 'zheng 玩具游戏玩具配件'}]
66,Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,[{'translation_text': 'zheng 玩具和游戏 色动物'}]
67,Toys & Games | Novelty & Gag Toys | Miniatures,[{'translation_text': 'zheng 玩具游戏小说'}]
68,Toys & Games | Stuffed Animals & Plush Toys | Plush Puppets,[{'translation_text': 'zheng 玩具和游戏'}]
69,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Wheels & Tires | Tires,[{'translation_text': 'zheng 玩具游戏趣味遥控设备和零件'}]
70,Home & Kitchen | Home Décor | Kids' Room Décor | Wall Décor,[{'translation_text': 'zheng 家庭和厨房家庭装修儿童房间壁画装修'}]
71,Toys & Games | Stuffed Animals & Plush Toys | Plush Figures,[{'translation_text': 'zheng 玩具游戏 色动物'}]
72,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Power Plant & Driveline Systems | Axles,[{'translation_text': 'zheng 玩具游戏趣味 远程控制车辆和部件'}]
73,Sports & Outdoors | Sports & Fitness | Team Sports | Volleyball | Volleyballs | Outdoor Volleyballs,[{'translation_text': 'zheng 运动和户外运动和健身运动队运动排球排球外排球'}]
74,Toys & Games | Toy Figures & Playsets | Playsets & Vehicles | Playsets,[{'translation_text': 'zheng 玩具图像和播放器播放器播放器播放器播放器'}]
75,Toys & Games | Arts & Crafts | Clay & Dough,[{'translation_text': 'zheng 玩具和游戏'}]
76,Toys & Games | Games & Accessories | Board Games,[{'translation_text': 'zheng 玩具游戏游戏及配件'}]
77,Toys & Games | Stuffed Animals & Plush Toys | Plush Figures,[{'translation_text': 'zheng 玩具游戏 色动物'}]
78,Toys & Games | Games & Accessories | Game Accessories | Standard Game Dice,[{'translation_text': 'zheng 玩具和游戏游戏配件游戏配件标准游戏棋牌'}]
79,Toys & Games | Kids' Electronics,[{'translation_text': 'zheng 儿童电子玩具'}]
80,Toys & Games | Dolls & Accessories | Dolls,[{'translation_text': 'zheng 玩具游戏'}]
81,Sports & Outdoors | Fan Shop | Toys & Game Room | Games,[{'translation_text': 'zheng 运动和户外粉丝店玩具和游戏室游戏'}]
82,Toys & Games | Dress Up & Pretend Play | Pretend Play | Kitchen Toys | Play Food,[{'translation_text': 'zheng 玩具和游戏 穿衣服并假装播放假装播放厨房玩具播放食物'}]
83,Toys & Games | Party Supplies | Banners,[{'translation_text': 'zheng 玩具游戏派对用品'}]
84,Toys & Games | Baby & Toddler Toys,[{'translation_text': 'zhys 玩具和游戏宝宝宝宝宝宝宝宝宝'}]
85,Toys & Games | Hobbies | Trains & Accessories | Train Cars,[{'translation_text': 'zheng 玩具和游戏趣味火车和配件火车汽车'}]
86,Toys & Games | Games & Accessories | Card Games | Standard Playing Card Decks,[{'translation_text': 'zheng 玩具和游戏游戏配件卡片游戏标准播放卡片'}]
87,Toys & Games | Stuffed Animals & Plush Toys,[{'translation_text': 'zheng 玩具游戏'}]
88,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts,[{'translation_text': 'zheng 玩具游戏趣味遥控设备和部件'}]
89,Toys & Games | Kids' Electronics,[{'translation_text': 'zheng 儿童电子玩具'}]
90,Toys & Games | Games & Accessories | Card Games | Standard Playing Card Decks,[{'translation_text': 'zheng 玩具和游戏游戏配件卡片游戏标准播放卡片'}]
